state,urban_share
Alabama,58
Alaska,65
Arizona,89
Arkansas,55
California,94
Colorado,86
Connecticut,86
Delaware,83
Florida,92
Georgia,74
Hawaii,86
Idaho,69
Illinois,87
Indiana,71
Iowa,63
Kansas,72
Kentucky,59
Louisiana,72
Maine,39
Maryland,86
Massachusetts,91
Michigan,73
Minnesota,72
Mississippi,46
Missouri,69
Montana,53
Nebraska,73
Nevada,94
New Hampshire,58
New Jersey,94
New Mexico,75
New York,87
North Carolina,67
North Dakota,61
Ohio,76
Oklahoma,65
Oregon,80
Pennsylvania,76
Rhode Island,91
South Carolina,68
South Dakota,57
Tennessee,66
Texas,84
Utah,90
Vermont,35
Virginia,76
Washington,83
West Virginia,45
Wisconsin,67
Wyoming,62
